name,rating,review,salaries,interviews,jobs,benefits
TCS,3.3,1.1L,10L,11.8k,3.7k,10.6k
Accenture,3.7,72.8k,6.6L,9.3k,24.4k,6.7k
Wipro,3.6,64.6k,4.8L,6.8k,376,4.6k
Cognizant,3.7,60.9k,6L,6.4k,479,5.5k
Capgemini,3.7,52.6k,4.8L,5.5k,2.1k,3.7k
HDFC Bank,3.8,51.7k,1.5L,3k,327,3.2k
Infosys,3.5,48.3k,5.2L,8.4k,3k,4.8k
ICICI Bank,4.0,45.5k,1.5L,2.9k,14,3.7k
HCLTech,3.4,45.5k,3.9L,4.5k,241,3.8k
Tech Mahindra,3.4,43k,2.8L,4.5k,617,3.4k
Genpact,3.6,41.7k,2.3L,3.9k,920,3.5k
TP,3.8,37.8k,97.8k,2.2k,1.2k,1.8k
Jio,4.4,33.5k,62k,4.4k,--,2.5k
Axis Bank,3.6,32.8k,1L,1.9k,193,2.1k
Concentrix Corporation,3.6,32k,1.3L,2k,37,3.1k
Amazon,3.9,31.3k,1.5L,5.9k,2.3k,3.6k
Reliance Retail,3.9,27.2k,77.2k,1.9k,109,1.8k
iEnergizer,4.6,27.2k,24.5k,1.4k,73,430
LTIMindtree,3.6,26.2k,2L,3.4k,416,777
IBM,3.9,25.6k,2.2L,2.6k,2.6k,2.6k
HDB Financial Services,3.9,25.5k,49.5k,1.1k,2.1k,1.5k
Larsen & Toubro Limited,3.9,23.7k,75k,1.8k,122,2.5k
Deloitte,3.7,22.9k,2.6L,3.3k,1.5k,2.4k
Kotak Mahindra Bank,3.6,22.2k,87.3k,1.4k,163,1.3k
Reliance Industries,4.0,20.1k,73k,1.6k,71,1.8k
Vodafone Idea,3.9,17.6k,49.8k,688,76,2k
Bharti Airtel,3.8,17k,49.5k,1.1k,222,1.6k
BYJU'S,3.2,16.4k,52.3k,2.1k,1,1.7k
WNS,3.3,15.1k,70.5k,1.3k,118,1.3k
IDFC FIRST Bank,3.9,14.4k,49.7k,955,36,692
Ernst & Young,3.4,14.4k,1.4L,1.3k,5.8k,1.1k
Tata Motors,4.1,14.1k,42.9k,1.3k,161,1.6k
IndusInd Bank,3.4,14.1k,51.4k,766,103,796
AU Small Finance Bank,3.9,14.1k,29.4k,694,358,578
Muthoot FinCorp,4.6,13.1k,9.2k,2.4k,43,275
Bajaj Finserv,4.0,13k,30.9k,744,5,707
Flipkart,3.9,12.9k,55k,1.7k,131,1.4k
PwC,3.3,12.4k,1.2L,1.6k,1.1k,800
Mahindra & Mahindra,4.0,12k,40.5k,866,2,1.2k
Infosys BPM,3.5,12k,75.1k,1.1k,64,1.1k
